3888,"Bruce Folkes","nc","FEMALE","15-20",1150,"gold"
2119,"Edmond Swain","mt","MALE","15-20",1038,"gold"
1108,"Blanche Guerra","or","FEMALE","36-50",1084,"gold"
2636,"Josephine Moffitt","nh","FEMALE","51-100",745,"gold"
1869,"Charles Washington","tx","FEMALE","26-35",1456,"gold"
1474,"Mathew Jensen","ky","FEMALE","26-35",844,"gold"
3130,"Bernice Schexnayder","tx","FEMALE","15-20",645,"gold"
1288,"William Macdonald","ca","MALE","26-35",1259,"gold"
3821,"Anita Smith","fl","FEMALE","26-35",1303,"gold"
2390,"Robert Baldwin","md","FEMALE","15-20",806,"gold"
3983,"Marilynn Hill","wa","MALE","21-25",857,"gold"
3108,"Wayne Lewis","ca","MALE","21-25",1011,"gold"
1032,"William Key","or","FEMALE","51-100",592,"gold"
1597,"Christopher Olsen","in","MALE","51-100",1431,"gold"
4364,"Lisa King","oh","MALE","15-20",1190,"gold"
2223,"Arthur Bussell","ca","FEMALE","15-20",1471,"gold"
1508,"Rodney Stanley","nv","FEMALE","15-20",1026,"gold"
3344,"John Welch","tn","FEMALE","36-50",847,"gold"
4650,"Krista Pietsch","tx","MALE","51-100",1250,"gold"
2445,"Darlene Parker","ct","FEMALE","15-20",1112,"gold"
3584,"Denise Leslie","mi","MALE","21-25",588,"gold"
3302,"Paul Greenwood","ar","MALE","21-25",951,"gold"
2757,"Shirley Gibson","nj","MALE","21-25",813,"gold"
3262,"Shawn Holden","il","FEMALE","15-20",1202,"gold"
3212,"Margaret Volz","tx","FEMALE","36-50",692,"gold"
4035,"Tiffany Mcdowell","wi","MALE","21-25",1483,"gold"
2499,"Benjamin Martinez","ny","FEMALE","21-25",985,"gold"
2741,"Megan Farmer","ut","FEMALE","15-20",1343,"gold"
3932,"Karl Andrews","tx","FEMALE","15-20",1100,"gold"
1064,"Elisa Molina","pa","MALE","15-20",1388,"gold"
1404,"Adam Waller","pa","FEMALE","26-35",1244,"gold"
1973,"Olivia Chalmers","al","MALE","15-20",1541,"gold"
4560,"Linda Enriquez","va","FEMALE","15-20",1381,"gold"
3818,"Maurice Foster","id","FEMALE","21-25",1289,"gold"
4881,"Kevin Smith","mn","MALE","51-100",1011,"gold"
4876,"William Young","wa","FEMALE","21-25",1382,"gold"
4110,"Mabel Lucero","ct","FEMALE","15-20",1453,"gold"
4722,"Linda Miller","fl","MALE","51-100",1063,"gold"
2178,"Lee North","al","MALE","21-25",1297,"gold"
1522,"Betty Mcintosh","nm","MALE","26-35",600,"gold"
3802,"Veronica Harris","tx","MALE","21-25",725,"gold"
2656,"Stephanie Rodriguez","la","MALE","51-100",731,"gold"
2312,"John Palmer","ca","FEMALE","26-35",1318,"gold"
2998,"Thomas Davis","nj","MALE","15-20",855,"gold"
4630,"Sherry Garner","ca","FEMALE","21-25",795,"gold"
2389,"Pearl Gray","tx","MALE","21-25",1027,"gold"
3534,"Jimmy Poindexter","va","MALE","26-35",960,"gold"
4106,"Evan Alcala","ca","FEMALE","36-50",1324,"gold"
4856,"Sharon Costantino","tx","MALE","26-35",589,"gold"
2909,"Michael Hill","wi","FEMALE","36-50",1130,"gold"
3732,"Mary Wallen","ny","FEMALE","21-25",1034,"gold"
1789,"Angel Paille","ak","MALE","36-50",993,"gold"
4552,"Elizabeth Welch","ny","MALE","21-25",1180,"gold"
1629,"Irma Lutz","ca","MALE","26-35",889,"gold"
4728,"Dwayne Crowley","nv","MALE","51-100",1281,"gold"
3622,"Rhonda Williams","tx","FEMALE","15-20",911,"gold"
4114,"Emilie Valerio","pa","MALE","51-100",1163,"gold"
4856,"James Vinson","mi","MALE","36-50",784,"gold"
1677,"Joan Pollock","ny","MALE","36-50",974,"gold"
2815,"Willene Garvin","ia","FEMALE","26-35",1408,"gold"
4744,"Margaret Scanlon","ri","FEMALE","15-20",1338,"gold"
2119,"Julie Whitacre","fl","MALE","15-20",631,"gold"
2356,"Jason Mcintyre","ct","OTHER","51-100",1533,"gold"
1406,"Brian Burke","fl","MALE","51-100",621,"gold"
3988,"Claire Fry","tn","FEMALE","51-100",1395,"gold"
3301,"Ismael Bibbins","nj","MALE","36-50",1357,"gold"
3518,"Michael Moore","nm","FEMALE","15-20",1009,"gold"
3330,"Samantha Kelley","ny","FEMALE","26-35",575,"gold"
2339,"Keli Farthing","pa","MALE","21-25",1297,"gold"
4117,"James Rode","nj","MALE","15-20",1432,"gold"
3690,"Marsha Espinoza","la","FEMALE","26-35",768,"gold"
1126,"Michael Yoder","ca","FEMALE","21-25",1303,"gold"
1093,"Nicol Smith","ga","FEMALE","15-20",639,"gold"
3202,"Katherine Robinson","in","MALE","21-25",779,"gold"
2698,"Natasha Joyner","il","MALE","21-25",1456,"gold"
1615,"Valerie Ikeda","tx","MALE","15-20",659,"gold"
2041,"Cynthia Savage","il","FEMALE","15-20",783,"gold"
2562,"Daryl Caraballo","ne","FEMALE","21-25",948,"gold"
1435,"Mark Dumas","oh","FEMALE","15-20",1067,"gold"
2375,"Mack Forbush","il","FEMALE","15-20",966,"gold"
3864,"William Alford","ct","FEMALE","36-50",1313,"gold"
2728,"William Castro","nj","MALE","21-25",772,"gold"
4219,"Georgette Cassidy","ca","MALE","15-20",645,"gold"
3864,"Kathleen Dias","ca","FEMALE","21-25",1290,"gold"
1912,"Cheryl Mcgill","ri","FEMALE","15-20",714,"gold"
